,id,url,age,gender,name,description,status,status_changed_at,published_at,primary,secondary,mixed,address1,address2,city,state,zip,country,small_photo,medium_photo,large_photo
10,59310561,https://www.petfinder.com/dog/roxxy-59310561/ca/fallbrook/loving-dog-rescue-ca3032/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Roxxy,"Roxxy:Female/poodle Miniature/ Bichon/ 5 pounds/4 months.vaccinated,De-wormed and spayed.Roxxy is an absolutely adorable.this little girl Loves all things people,Kids,cats and more...",adopted,2023-01-08T03:36:40+0000,2022-12-31T19:07:16+0000,Poodle,Bichon Frise,True,,,Fallbrook,CA,92028,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310561/6/?bust=1672513634&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310561/6/?bust=1672513634&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310561/6/?bust=1672513634&width=600
11,59310560,https://www.petfinder.com/dog/layla-59310560/va/colonial-heights/bully-rescue-and-advocacy-group-inc-va672/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Female,Layla,Layla is new to rescue &amp; was brought to us from an overcrowded shelter just after Christmas. She was very...,adopted,2023-01-08T17:43:21+0000,2022-12-31T19:06:04+0000,American Staffordshire Terrier,,True,,,Colonial Heights,VA,23834,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310560/1/?bust=1672513562&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310560/1/?bust=1672513562&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310560/1/?bust=1672513562&width=600
12,59310541,https://www.petfinder.com/cat/hyena-59310541/sc/chesterfield/jtrkitties-sc527/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Male,Hyena,Meet Hyena who is currently at Chesterfield County animal shelter till he finds the perfect home. He will be neutered...,adopted,2023-01-06T19:45:48+0000,2022-12-31T18:59:52+0000,Maine Coon,Domestic Long Hair,True,,,Chesterfield ,SC,29709,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310541/2/?bust=1672513190&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310541/2/?bust=1672513190&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310541/2/?bust=1672513190&width=600
13,59310532,https://www.petfinder.com/cat/coco-chanel-59310532/ca/brea/one-love-animal-rescue-and-sanctuary-ca2694/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Coco Chanel,"Cocoa Chanel is an adorable, beautiful, sweet girl. She can bit a bit on the quiet side at first but...",adopted,2022-12-31T18:57:51+0000,2022-12-31T18:57:49+0000,Domestic Medium Hair,,False,,,Brea,CA,92822,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310532/3/?bust=1673163302&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310532/3/?bust=1673163302&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310532/3/?bust=1673163302&width=600
14,59310509,https://www.petfinder.com/dog/rechie-59310509/ca/fallbrook/loving-dog-rescue-ca3032/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Male,Rechie,"Rechie:Male/poodle miniature/Bichon/5 pounds/4 months.vaccinated,De-wormed and neutered.Rechie is an absolutely adorable.this little boy loves all thing people,Kids,cats and more dogs.he is...",adopted,2023-01-08T03:36:50+0000,2022-12-31T18:56:13+0000,Poodle,Bichon Frise,True,,,Fallbrook,CA,92028,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310509/6/?bust=1672512972&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310509/6/?bust=1672512972&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310509/6/?bust=1672512972&width=600
15,59310497,https://www.petfinder.com/cat/aggie-59310497/ia/council-bluffs/midlands-humane-society-ia236/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Female,Aggie,"Aggie is a 1-year-old spayed female Domestic Shorthair; she arrived to MHS after being abandoned outside of Animal Control.

Aggie...",adopted,2022-12-31T20:58:23+0000,2022-12-31T18:54:27+0000,Domestic Short Hair,,False,1020 Railroad Avenue,,Council Bluffs,IA,51503,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310497/1/?bust=1672512865&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310497/1/?bust=1672512865&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310497/1/?bust=1672512865&width=600
16,59310455,https://www.petfinder.com/dog/rue-59310455/md/hughesville/furever-safe-md469/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Rue,Rue is an 8 week old pup who is looking for her forever home! We are guessing that she is...,adopted,2023-01-08T23:41:12+0000,2022-12-31T18:52:16+0000,Bloodhound,Shepherd,True,,,Hughesville,MD,20637,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310455/1/?bust=1672512735&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310455/1/?bust=1672512735&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310455/1/?bust=1672512735&width=600
17,59310453,https://www.petfinder.com/cat/willow-59310453/wv/lewisburg/greenbrier-humane-society-wv48/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Young,Female,Willow,,adopted,2023-01-04T14:54:40+0000,2022-12-31T18:52:00+0000,Domestic Short Hair,,False,PO Box 926,151 Holliday Lane,Lewisburg,WV,24901,US,,,
18,59310430,https://www.petfinder.com/cat/butterscotch-59310430/ok/oklahoma-city/pets-and-people-humane-society-ok12/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Adult,Male,Butterscotch,Meet Butterscotch! He is an awesome cat! He is a very friendly and very affectionate kitty. He does great with...,adopted,2023-01-09T20:10:42+0000,2022-12-31T18:49:49+0000,Domestic Short Hair,,False,,,Oklahoma City,OK,73127,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310430/3/?bust=1672512587&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310430/3/?bust=1672512587&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310430/3/?bust=1672512587&width=600
19,59310426,https://www.petfinder.com/cat/cindy-lou-who-59310426/nj/old-bridge/happy-homes-animal-rescue-nj728/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Cindy Lou Who,Cindy Lou Who is a beautiful 5 month old medium haired cat looking for a home. She’s a bit shy...,adopted,2023-01-03T18:28:22+0000,2022-12-31T18:49:36+0000,Domestic Medium Hair,,False,,,Old Bridge,NJ,08857,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310426/4/?bust=1672512636&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310426/4/?bust=1672512636&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310426/4/?bust=1672512636&width=600
20,59310407,https://www.petfinder.com/cat/melo-59310407/mi/jackson/cascades-humane-society-mi340/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Female,Melo,"Hi, I’m Melo! I’m a 2 month old, female kitten with beautiful medium black fur. I tend to be a...",adopted,2023-01-03T19:42:08+0000,2022-12-31T18:43:49+0000,Domestic Medium Hair,,False,1515 Carmen Drive,,Jackson,MI,49202,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310407/3/?bust=1672512228&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310407/3/?bust=1672512228&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310407/3/?bust=1672512228&width=600
21,59310404,https://www.petfinder.com/cat/shiva-59310404/va/fincastle/league-for-animal-protection-va36/?referrer_id=333371b4-8f13-45f9-b6de-b6e5e54095de,Baby,Male,Shiva,This sweet but shy boy just needs to be love to help him relax. He will be neutered and given...,adopted,2023-01-07T17:22:57+0000,2022-12-31T18:43:11+0000,Bengal,,False,PO Box 561,603  Poor Farm Road,Fincastle,VA,24090,US,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310404/2/?bust=1672512178&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310404/2/?bust=1672512178&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59310404/2/?bust=1672512178&width=600
